======== Profiling result:
======== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla M60 (0)","sgemm_32x32x32_TN_vec",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",49.374895%,49.374895%,49.374895%
"Tesla M60 (0)","cupy_not_equal",4,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,2.079002%,1.556007%
"Tesla M60 (0)","void pooling_bw_kernel_max_nchw_fully_packed_small<float, float, int=2, cudnnNanPropagation_t=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float const *, cudnnTensorStruct, float const *, cudnnTensorStruct, float*, cudnnPoolingStruct, float, float, cudnn::reduced_divisor, cudnn::reduced_divisor)",5,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.003474%,0.140828%,0.069233%
"Tesla M60 (0)","void gen_sequenced<curandStateXORWOW, float, int, __operator_&__(float curand_uniform_noargs<curandStateXORWOW>(curandStateXORWOW*, int))>(curandStateXORWOW*, float*, unsigned long, unsigned long, int)",10,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.832893%,1.692623%,1.240821%
"Tesla M60 (0)","cupy_sum",4,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148t_nt",5,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000005%,27.562481%,5.543743%
"Tesla M60 (0)","cupy_mean",5,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,2.659840%,0.532913%
"Tesla M60 (0)","maxwell_sgemm_128x64_nt",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",74.135040%,74.135040%,74.135040%
"Tesla M60 (0)","generate_seed_pseudo(unsigned __int64, unsigned __int64, unsigned __int64, curandOrdering, curandStateXORWOW*, unsigned int*)",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","cupy_argmax",4,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.004321%,0.003199%
