timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/01/12 03:58:11.951, Tesla M60, 7613 MiB, 0 MiB, 97 %, 6 %
2018/01/12 03:58:12.051, Tesla M60, 7613 MiB, 13 MiB, 48 %, 3 %
2018/01/12 03:58:12.154, Tesla M60, 7613 MiB, 84 MiB, 48 %, 3 %
2018/01/12 03:58:12.254, Tesla M60, 7613 MiB, 107 MiB, 2 %, 0 %
2018/01/12 03:58:12.354, Tesla M60, 7613 MiB, 366 MiB, 7 %, 0 %
2018/01/12 03:58:12.455, Tesla M60, 7613 MiB, 383 MiB, 7 %, 0 %
2018/01/12 03:58:12.555, Tesla M60, 7613 MiB, 383 MiB, 9 %, 0 %
2018/01/12 03:58:12.656, Tesla M60, 7613 MiB, 407 MiB, 9 %, 0 %
2018/01/12 03:58:12.756, Tesla M60, 7613 MiB, 427 MiB, 6 %, 0 %
2018/01/12 03:58:12.857, Tesla M60, 7613 MiB, 447 MiB, 12 %, 0 %
2018/01/12 03:58:12.957, Tesla M60, 7613 MiB, 3445 MiB, 12 %, 0 %
2018/01/12 03:58:13.058, Tesla M60, 7613 MiB, 3810 MiB, 80 %, 58 %
2018/01/12 03:58:13.158, Tesla M60, 7613 MiB, 3810 MiB, 80 %, 58 %
2018/01/12 03:58:13.258, Tesla M60, 7613 MiB, 3823 MiB, 100 %, 31 %
2018/01/12 03:58:13.359, Tesla M60, 7613 MiB, 3836 MiB, 18 %, 3 %
2018/01/12 03:58:13.459, Tesla M60, 7613 MiB, 4796 MiB, 18 %, 3 %
2018/01/12 03:58:13.559, Tesla M60, 7613 MiB, 4796 MiB, 90 %, 22 %
2018/01/12 03:58:13.660, Tesla M60, 7613 MiB, 4796 MiB, 90 %, 22 %
2018/01/12 03:58:13.760, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:13.860, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 62 %
2018/01/12 03:58:13.961, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 62 %
2018/01/12 03:58:14.061, Tesla M60, 7613 MiB, 4796 MiB, 90 %, 78 %
2018/01/12 03:58:14.161, Tesla M60, 7613 MiB, 4796 MiB, 90 %, 76 %
2018/01/12 03:58:14.262, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 27 %
2018/01/12 03:58:14.362, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 46 %
2018/01/12 03:58:14.463, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 45 %
2018/01/12 03:58:14.563, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:14.663, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:14.764, Tesla M60, 7613 MiB, 4796 MiB, 97 %, 79 %
2018/01/12 03:58:14.864, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 50 %
2018/01/12 03:58:14.964, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
2018/01/12 03:58:15.065, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:15.165, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:15.265, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 71 %
2018/01/12 03:58:15.366, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:15.466, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:15.566, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:15.667, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:15.767, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 22 %
2018/01/12 03:58:15.867, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:15.968, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:16.068, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:16.168, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:16.269, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 84 %
2018/01/12 03:58:16.369, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 35 %
2018/01/12 03:58:16.469, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 33 %
2018/01/12 03:58:16.570, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 29 %
2018/01/12 03:58:16.670, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 29 %
2018/01/12 03:58:16.770, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:16.871, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:16.971, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 79 %
2018/01/12 03:58:17.071, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:17.172, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:17.272, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:17.372, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:17.473, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:17.573, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 61 %
2018/01/12 03:58:17.673, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 61 %
2018/01/12 03:58:17.774, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 84 %
2018/01/12 03:58:17.874, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:17.974, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:18.075, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 48 %
2018/01/12 03:58:18.175, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 48 %
2018/01/12 03:58:18.275, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:18.376, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 85 %
2018/01/12 03:58:18.476, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:18.576, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 43 %
2018/01/12 03:58:18.677, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 42 %
2018/01/12 03:58:18.777, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 28 %
2018/01/12 03:58:18.878, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:18.978, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:19.078, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:19.179, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:19.279, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:19.379, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:19.480, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:19.580, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:19.680, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:19.781, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:19.881, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:19.981, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:20.082, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 30 %
2018/01/12 03:58:20.182, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 29 %
2018/01/12 03:58:20.282, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 39 %
2018/01/12 03:58:20.383, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:20.483, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:20.583, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 80 %
2018/01/12 03:58:20.684, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 78 %
2018/01/12 03:58:20.784, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 50 %
2018/01/12 03:58:20.884, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:20.985, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:21.085, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 73 %
2018/01/12 03:58:21.185, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:21.286, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:21.386, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 73 %
2018/01/12 03:58:21.486, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 73 %
2018/01/12 03:58:21.587, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:21.687, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:21.787, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 55 %
2018/01/12 03:58:21.888, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 71 %
2018/01/12 03:58:21.988, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 66 %
2018/01/12 03:58:22.088, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 86 %
2018/01/12 03:58:22.189, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 85 %
2018/01/12 03:58:22.289, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 34 %
2018/01/12 03:58:22.389, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 31 %
2018/01/12 03:58:22.490, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 30 %
2018/01/12 03:58:22.590, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:22.690, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:22.791, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 79 %
2018/01/12 03:58:22.891, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:22.991, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:23.092, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
