timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2017/11/29 01:33:48.394, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:33:48.395, Tesla M60, 7613 MiB, 0 MiB, 97 %
2017/11/29 01:33:53.396, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:33:53.396, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:33:58.397, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:33:58.397, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:03.398, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:03.399, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:08.400, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:08.401, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:13.402, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:13.402, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:18.403, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:18.404, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:23.405, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:23.406, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:28.407, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:28.408, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:33.409, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:33.409, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:38.410, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:38.411, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:43.412, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:43.413, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:48.414, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:48.414, Tesla M60, 7613 MiB, 0 MiB, 0 %
2017/11/29 01:34:53.415, Tesla M60, 7613 MiB, 0 MiB, 0 %
