==44646== NVPROF is profiling process 44646, command: hpcg3.1/xhpcg-3.1_gcc_485_cuda90176_ompi_1_10_2_sm_35_sm_50_sm_60_sm_70_ver_10_8_17
==44646== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==44646== Profiling application: hpcg3.1/xhpcg-3.1_gcc_485_cuda90176_ompi_1_10_2_sm_35_sm_50_sm_60_sm_70_ver_10_8_17
==44646== Profiling result:
==44646== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla M60 (0)","sort_matrix_kernel(double*, int*, int)",4,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","sort_matrix_kernel(double*, int*, int)",4,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","void dot_kernel<double, double, double, int=128, int=0, int=0>(cublasDotParams<double, double>)",367,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",1.393133%,1.598564%,1.540048%
"Tesla M60 (0)","void dot_kernel<double, double, double, int=128, int=0, int=0>(cublasDotParams<double, double>)",367,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<long*, long*, long, long, thrust::plus<long>>, long*, long*, int, thrust::plus<long>, long>(long*, long, long, long, thrust::plus<long>)",8,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<long*, long*, long, long, thrust::plus<long>>, long*, long*, int, thrust::plus<long>, long>(long*, long, long, long, thrust::plus<long>)",8,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","void reduce_1Block_kernel<double, double, double, int=128, int=7>(double*, int, double*)",367,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.003966%,0.004798%,0.004492%
"Tesla M60 (0)","void reduce_1Block_kernel<double, double, double, int=128, int=7>(double*, int, double*)",367,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","genL2G_kernel(__int64*, int const *, __int64 const *, int)",4,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","genL2G_kernel(__int64*, int const *, __int64 const *, int)",4,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<thrust::device_ptr<int>, int*, int, long, thrust::maximum<int>>, thrust::device_ptr<int>, int*, long, thrust::maximum<int>, int>(thrust::device_ptr<int>, int*, int, long, int)",4,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla M60 (0)","void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<thrust::device_ptr<int>, int*, int, long, thrust::maximum<int>>, thrust::device_ptr<int>, int*, long, thrust::maximum<int>, int>(thrust::device_ptr<int>, int*, int, long, int)",4,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
