timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:58:06.447, Tesla M60, 7613 MiB, 0 MiB, 68 %, 4 %, 632 MHz, 2505 MHz
2017/12/19 06:58:06.699, Tesla M60, 7613 MiB, 0 MiB, 94 %, 7 %, 784 MHz, 2505 MHz
2017/12/19 06:58:06.850, Tesla M60, 7613 MiB, 0 MiB, 94 %, 7 %, 784 MHz, 2505 MHz
2017/12/19 06:58:06.951, Tesla M60, 7613 MiB, 0 MiB, 97 %, 8 %, 873 MHz, 2505 MHz
2017/12/19 06:58:07.069, Tesla M60, 7613 MiB, 0 MiB, 96 %, 9 %, 974 MHz, 2505 MHz
2017/12/19 06:58:07.181, Tesla M60, 7613 MiB, 0 MiB, 96 %, 9 %, 974 MHz, 2505 MHz
2017/12/19 06:58:07.288, Tesla M60, 7613 MiB, 0 MiB, 97 %, 10 %, 1075 MHz, 2505 MHz
2017/12/19 06:58:07.433, Tesla M60, 7613 MiB, 0 MiB, 63 %, 7 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:07.533, Tesla M60, 7613 MiB, 0 MiB, 63 %, 7 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:07.634, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:07.734, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:07.834, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:07.935, Tesla M60, 7613 MiB, 12 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:08.037, Tesla M60, 7613 MiB, 96 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:08.137, Tesla M60, 7613 MiB, 113 MiB, 6 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:58:08.239, Tesla M60, 7613 MiB, 1045 MiB, 29 %, 19 %, 1177 MHz, 2505 MHz
