timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/01/18 08:49:36.801, Tesla M60, 7613 MiB, 1 MiB, 99 %, 6 %
2018/01/18 08:49:36.902, Tesla M60, 7613 MiB, 89 MiB, 99 %, 6 %
2018/01/18 08:49:37.003, Tesla M60, 7613 MiB, 105 MiB, 32 %, 2 %
2018/01/18 08:49:37.103, Tesla M60, 7613 MiB, 123 MiB, 9 %, 0 %
2018/01/18 08:49:37.204, Tesla M60, 7613 MiB, 123 MiB, 9 %, 0 %
2018/01/18 08:49:37.304, Tesla M60, 7613 MiB, 123 MiB, 68 %, 2 %
2018/01/18 08:49:37.404, Tesla M60, 7613 MiB, 123 MiB, 68 %, 2 %
2018/01/18 08:49:37.505, Tesla M60, 7613 MiB, 123 MiB, 90 %, 3 %
2018/01/18 08:49:37.605, Tesla M60, 7613 MiB, 123 MiB, 89 %, 3 %
2018/01/18 08:49:37.706, Tesla M60, 7613 MiB, 123 MiB, 89 %, 3 %
2018/01/18 08:49:37.806, Tesla M60, 7613 MiB, 123 MiB, 88 %, 3 %
2018/01/18 08:49:37.907, Tesla M60, 7613 MiB, 123 MiB, 88 %, 3 %
2018/01/18 08:49:38.007, Tesla M60, 7613 MiB, 123 MiB, 86 %, 3 %
2018/01/18 08:49:38.108, Tesla M60, 7613 MiB, 123 MiB, 85 %, 3 %
2018/01/18 08:49:38.208, Tesla M60, 7613 MiB, 123 MiB, 85 %, 3 %
2018/01/18 08:49:38.308, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:38.409, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:38.509, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:38.610, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:38.710, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:38.811, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:38.911, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.011, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.112, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.212, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.313, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.413, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.514, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.614, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.715, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.815, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:39.915, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.016, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.116, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.217, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.317, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.417, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.518, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.618, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.719, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.819, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:40.920, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.020, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.121, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.221, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.321, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.422, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.522, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.623, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.723, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.824, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:41.924, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.024, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.125, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.225, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.326, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.426, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.527, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.627, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.727, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.828, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:42.928, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.029, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.129, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.230, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.330, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.430, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:43.531, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:43.631, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.732, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.832, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.933, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.033, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.133, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.234, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.334, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
