==15345== NVPROF is profiling process 15345, command: ./xhpcg-3.1_gcc_485_cuda90176_ompi_1_10_2_sm_35_sm_50_sm_60_sm_70_ver_10_8_17
==15345== Profiling application: ./xhpcg-3.1_gcc_485_cuda90176_ompi_1_10_2_sm_35_sm_50_sm_60_sm_70_ver_10_8_17
==15345== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",41.172920,26.448949,85680,0.308694,0.013024,0.818776,"SYMGS4_kernel(double*, int*, int, int, int, double*, double*, double*)"
"GPU activities",17.496712,11.239661,1970,5.705411,5.651400,6.706974,"SPMV_2D_kernel(double*, int*, int*, int, double*, double*)"
"GPU activities",2.888472,1.855517,5712,0.324845,0.025984,0.851511,"SPMV_kernel_r(double*, int*, int*, int, double*, double*, double*, int*, int)"
"GPU activities",2.851417,1.831713,7616,0.240508,0.004576,0.852375,"SYMGS21_C1_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.844240,1.827103,7616,0.239903,0.004479,0.849464,"SYMGS21_C5_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.840609,1.824770,7616,0.239596,0.004512,0.847960,"SYMGS21_C6_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.837193,1.822576,7616,0.239308,0.004320,0.846647,"SYMGS21_C2_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.835844,1.821709,7616,0.239195,0.004320,0.846424,"SYMGS21_C4_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.833099,1.819946,7616,0.238963,0.004320,0.843864,"SYMGS21_C3_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.780834,1.786372,7616,0.234555,0.007680,0.819928,"SYMGS2_kernel(double*, int*, int, int, int, double*, double*, double*)"
"GPU activities",2.768073,1.778174,7616,0.233478,0.007936,0.817656,"SYMGS3_kernel(double*, int*, int, int, int, double*, double*, double*)"
"GPU activities",2.526527,1.623008,7616,0.213105,0.004000,0.755289,"SYMGS33_C1_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",2.415859,1.551917,3890,0.398950,0.267198,0.478523,"WAXPBY_kernel(double*, double, double*, double, double*, int)"
"GPU activities",1.886242,1.211698,7616,0.159098,0.003616,0.565082,"SYMGS33_C3_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",1.682528,1.080834,3896,0.277421,0.131679,0.328733,"void dot_kernel<double, double, double, int=128, int=0, int=0>(cublasDotParams<double, double>)"
"GPU activities",1.605845,1.031574,7616,0.135448,0.003423,0.482875,"SYMGS33_C2_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
"GPU activities",1.233234,0.792213,1924,0.411753,0.406684,0.450492,"WAXPBY_DOT_kernel1(double*, double, double*, double, double*, int, double*)"
"GPU activities",1.112701,0.714785,7616,0.093853,0.002752,0.333116,"SYMGS33_C5_kernel(double*, int*, int, int, int, double*, double*, double*, double*)"
