timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:46:59.102, Tesla M60, 7613 MiB, 0 MiB, 97 %, 9 %, 974 MHz, 2505 MHz
2017/12/19 06:46:59.202, Tesla M60, 7613 MiB, 0 MiB, 87 %, 9 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.302, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.403, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.503, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.604, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.704, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.805, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:46:59.905, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:00.005, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:00.106, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:00.206, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:00.307, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:00.407, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:00.507, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1075 MHz, 2505 MHz
