timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:37:16.300, Tesla M60, 7613 MiB, 0 MiB, 99 %, 10 %, 1075 MHz, 2505 MHz
2017/12/19 06:37:16.401, Tesla M60, 7613 MiB, 0 MiB, 66 %, 7 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:16.501, Tesla M60, 7613 MiB, 0 MiB, 66 %, 7 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:16.601, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:16.702, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:16.802, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:16.903, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.003, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.103, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.204, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.304, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.404, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.505, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.605, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.706, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.806, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:17.906, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.007, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.107, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.207, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.308, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.408, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.509, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.609, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.709, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.810, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:18.910, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:19.010, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:19.111, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.211, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.312, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.412, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.513, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.614, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.714, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.815, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:19.915, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.016, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.116, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.217, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.317, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.418, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.519, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.619, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.720, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.820, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:20.921, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.021, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.122, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.222, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.323, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.423, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.524, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.624, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.725, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.826, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:21.926, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.027, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.127, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.228, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.328, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.429, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.529, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.630, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.730, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.831, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:22.931, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:23.032, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:23.132, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:23.233, Tesla M60, 7613 MiB, 0 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
