==38844== NVPROF is profiling process 38844, command: python tf_cnn_benchmarks.py --num_gpus=1 --batch_size=32 --model=resnet50 --num_batches=3 --num_warmup_batches=1
==38844== Profiling application: python tf_cnn_benchmarks.py --num_gpus=1 --batch_size=32 --model=resnet50 --num_batches=3 --num_warmup_batches=1
==38844== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,
0.791277,0.004128,,,,,,,,,,0.000980,0.231928,"Device",,"Tesla M60 (0)","1","7","[CUDA memset]"
1.178323,0.002048,,,,,,,,,,0.001953,0.931323,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.178484,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.178621,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.178750,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.178859,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.178964,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179067,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179189,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179281,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179380,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179481,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179572,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179668,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179787,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179880,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.179999,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180102,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180204,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180307,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180430,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180524,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180621,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180725,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180827,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.180929,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181066,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181175,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181277,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181380,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181481,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181610,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181702,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181806,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.181908,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182010,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182111,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182241,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182351,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182452,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182555,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182651,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182783,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182892,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.182992,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183082,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183172,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183290,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183381,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183479,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183580,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183670,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183759,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.183875,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
